Date,Time,Hall_Samples,ADC_Min,ADC_Max,ADC_Span,Angle_StdDev,Status
2025-11-25,17:59:47,90,0.428266,0.966606,0.538339,130.72,FAIL
2025-11-25,18:01:19,90,0.428266,0.966606,0.538339,130.72,PASS
